group_id,group_type,phash_hamming_threshold,sha256_or_min_pair_hamming,filename
exact-0182,exact,,75f00640854a2816756d4e0fd11fc76206af2b269f5b21ebe9381d32da8d6955,data/DFU/Patches/Normal(Healthy skin)/522.jpg
exact-0183,exact,,fdb9f88c25eeb86a7d3acda4b1fa7dec64ad643d38d544962e9561311f88f4be,data/DFU/Patches/Normal(Healthy skin)/240.jpg
exact-0183,exact,,fdb9f88c25eeb86a7d3acda4b1fa7dec64ad643d38d544962e9561311f88f4be,data/DFU/Patches/Normal(Healthy skin)/525.jpg
exact-0184,exact,,142d53324078779044644f693f28152f28c028d3fd86b4fe8dd689697d18a5d1,data/DFU/Patches/Normal(Healthy skin)/241.jpg
exact-0184,exact,,142d53324078779044644f693f28152f28c028d3fd86b4fe8dd689697d18a5d1,data/DFU/Patches/Normal(Healthy skin)/523.jpg
exact-0185,exact,,580fb97b7417006b3c1631443200a2d55aa51364de5f8b2ab647f097c7e5fa6d,data/DFU/Patches/Normal(Healthy skin)/242.jpg
exact-0185,exact,,580fb97b7417006b3c1631443200a2d55aa51364de5f8b2ab647f097c7e5fa6d,data/DFU/Patches/Normal(Healthy skin)/501.jpg
exact-0186,exact,,de90fb988b3b8605c55ba9437a0d271ac6a5bc091d3c188f92541fca66fed8a5,data/DFU/Patches/Normal(Healthy skin)/243.jpg
exact-0186,exact,,de90fb988b3b8605c55ba9437a0d271ac6a5bc091d3c188f92541fca66fed8a5,data/DFU/Patches/Normal(Healthy skin)/294.jpg
exact-0187,exact,,634a2c98bc2365bd9de6b378b3e341806013720482cf39c0c40ca9fcd088b00b,data/DFU/Patches/Normal(Healthy skin)/244.jpg
exact-0187,exact,,634a2c98bc2365bd9de6b378b3e341806013720482cf39c0c40ca9fcd088b00b,data/DFU/Patches/Normal(Healthy skin)/509.jpg
exact-0188,exact,,039d9966507db8953abc9d787b7d53ebbd82b665a25880f15b3c2accb2230d4f,data/DFU/Patches/Normal(Healthy skin)/245.jpg
exact-0188,exact,,039d9966507db8953abc9d787b7d53ebbd82b665a25880f15b3c2accb2230d4f,data/DFU/Patches/Normal(Healthy skin)/505.jpg
exact-0189,exact,,7508513f5d1360e38787efcd2e7383d8bb1ce8cca2c2f4f9b82415626462e38d,data/DFU/Patches/Normal(Healthy skin)/246.jpg
exact-0189,exact,,7508513f5d1360e38787efcd2e7383d8bb1ce8cca2c2f4f9b82415626462e38d,data/DFU/Patches/Normal(Healthy skin)/524.jpg
exact-0190,exact,,bb8d1baeef767202839c295cb3507f7d0b94370630335a80d663a2ab74f617f5,data/DFU/Patches/Normal(Healthy skin)/247.jpg
exact-0190,exact,,bb8d1baeef767202839c295cb3507f7d0b94370630335a80d663a2ab74f617f5,data/DFU/Patches/Normal(Healthy skin)/502.jpg
exact-0191,exact,,b21e8a16fc62fdc222f449e7622fc648166be5dae57e808654ef0137dbdb755c,data/DFU/Patches/Normal(Healthy skin)/248.jpg
exact-0191,exact,,b21e8a16fc62fdc222f449e7622fc648166be5dae57e808654ef0137dbdb755c,data/DFU/Patches/Normal(Healthy skin)/297.jpg
exact-0192,exact,,cb3339794adb72aa786d5cff10abf318442e9b6b263ff11a8a6653ea0cb77af7,data/DFU/Patches/Normal(Healthy skin)/249.jpg
exact-0192,exact,,cb3339794adb72aa786d5cff10abf318442e9b6b263ff11a8a6653ea0cb77af7,data/DFU/Patches/Normal(Healthy skin)/527.jpg
exact-0193,exact,,9a2111664c9c87480b111fcca6375cb3dd9e65435f2a4288f5e4baea8a8a1a2f,data/DFU/Patches/Normal(Healthy skin)/250.jpg
exact-0193,exact,,9a2111664c9c87480b111fcca6375cb3dd9e65435f2a4288f5e4baea8a8a1a2f,data/DFU/Patches/Normal(Healthy skin)/469.jpg
exact-0194,exact,,4a53ec5581c9a567326176830776e3ebd1fe0d0cd301ea58c0fe77fb6cbf6045,data/DFU/Patches/Normal(Healthy skin)/251.jpg
exact-0194,exact,,4a53ec5581c9a567326176830776e3ebd1fe0d0cd301ea58c0fe77fb6cbf6045,data/DFU/Patches/Normal(Healthy skin)/489.jpg
exact-0195,exact,,49a76d3036b9f8c4e9e20887b2a7aff0d76498363d46c95fe32da269c5f9499c,data/DFU/Patches/Normal(Healthy skin)/252.jpg
exact-0195,exact,,49a76d3036b9f8c4e9e20887b2a7aff0d76498363d46c95fe32da269c5f9499c,data/DFU/Patches/Normal(Healthy skin)/504.jpg
exact-0196,exact,,b261bd033cd52756f245a25347ff85c33c03ed09d8a792983f6a8c41c9a1c0a7,data/DFU/Patches/Normal(Healthy skin)/253.jpg
exact-0196,exact,,b261bd033cd52756f245a25347ff85c33c03ed09d8a792983f6a8c41c9a1c0a7,data/DFU/Patches/Normal(Healthy skin)/486.jpg
exact-0197,exact,,1e4ed4ee13e8164d50cbcb3bd5538199a4302fef620492fefdc615ca0dd22ed8,data/DFU/Patches/Normal(Healthy skin)/254.jpg
exact-0197,exact,,1e4ed4ee13e8164d50cbcb3bd5538199a4302fef620492fefdc615ca0dd22ed8,data/DFU/Patches/Normal(Healthy skin)/531.jpg
exact-0198,exact,,c03a8ee0b6bd664234a84e42ae6b63ae7cf9b42d336cd20dbb3d93808844e219,data/DFU/Patches/Normal(Healthy skin)/255.jpg
